Organization Name,Organization Name URL,Industries,Description,CB Rank (Company),LinkedIn,Website,Founders,Headquarters Location
Extensius,https://www.crunchbase.com/organization/extensius,"Augmented Reality, Computer, Software",Maker of Augmented Reality software for the skilled workforce. ,"734,066",https://www.linkedin.com/company/extensius,https://extensius.com,Chris Rampey,"Seattle, Washington, United States"
Novyspec,https://www.crunchbase.com/organization/novyspec,"Enterprise Applications, Field Support, Industrial, Software","Novyspec, founded on December 19, 2016, offers a complete application for all your inspection, audit and expertise requirements.","732,959",https://www.linkedin.com/company/18257424/,http://www.novyspec.com,Jean-Philippe Lerat,"Nantes, Pays de la Loire, France"
Cup of Data,https://www.crunchbase.com/organization/cup-of-data,"Artificial Intelligence, B2B, Marketing Automation, SaaS, Sales",SaaS prospecting service powered by AI.,"732,505",https://www.linkedin.com/company/11433034/,https://cupofdata.com,Greg Werner,"Atlanta, Georgia, United States"
Eigenherd,https://www.crunchbase.com/organization/eigenherd,"Consulting, Software",Eigenherd is a process and software management consulting company.,"728,024",https://www.linkedin.com/company/eigenherd/,https://eigenherd.com/,"Oliver Böckmann, Paul Herrmann","Hamburg, Hamburg, Germany"
Networthy,https://www.crunchbase.com/organization/networthy,"B2B, E-Commerce, Internet",Marketplace for...,"725,667",https://www.linkedin.com/company/10854041https://www.linkedin.com/company/10854041,http://www.networthy.com,Charlie Whiton,"Seattle, Washington, United States"
SCURT Link,https://www.crunchbase.com/organization/scurt-link,"File Sharing, Internet, Software",An advanced link shortening service.,"720,665",,https://scu.li,Ian Petras,"London, England, United Kingdom"
Matchademics,https://www.crunchbase.com/organization/matchademics,"Human Resources, SaaS, Social","A SaaS company using the online footprint of employees or new hires to determine their personality, values, and anticipated team dynamics.","719,156",,https://matchademics.com,"Christopher Sawtelle, Maximilian Mandl","Zürich, Zurich, Switzerland"
CovalentAI,https://www.crunchbase.com/organization/covalentai,"Artificial Intelligence, Quality Assurance, Software","CovalentAI provides AI driven test solutions to help you get the most out of your web, mobile, and IoT applicaitons.","714,406",https://www.linkedin.com/company/28132504/admin/updates/,http://covalentai.com,Robin Mays,"Atlanta, Georgia, United States"
Engageme Apps,https://www.crunchbase.com/organization/engageme-apps,Software,"HR applications for Engagement, Performance & Organizational Development","712,584",https://www.linkedin.com/company/engagemeapps.com/?viewAsMember=true,https://engagemeapps.com/,Mohit Srivastava,"Alpharetta, Georgia, United States"
Cmore,https://www.crunchbase.com/organization/cmore,"CRM, Information Technology, Software",Cmore creates visual information tools that allow your audience to see and experience more,"712,547",https://www.linkedin.com/company/cmore,http://cmoreapp.com,Koen Caris,"Budapest, Budapest, Hungary"
UnderScope,https://www.crunchbase.com/organization/underscope,"Geospatial, Software","Underscope is a cross-platform map, for storing all underground utilities data and displaying it on Google map.","711,424",https://www.linkedin.com/company/underscope-gis/,http://underscopemap.com/,Zoran Kocovic,"Berlin, Berlin, Germany"
CauseBot,https://www.crunchbase.com/organization/causebot,"Artificial Intelligence, Non Profit, Software",CauseBot is a software company focused on next generation technologies for the nonprofit industry,"709,229",,http://CauseBot.ai,Ken Koo,"Frisco, Texas, United States"
Searchbox Labs,https://www.crunchbase.com/organization/searchbox-labs,"Advertising, Analytics, Digital Marketing, Software","Searchbox Labs is a digital marketing agency specializing in Paid Search, Social, SEO, CRO, and website development.","707,335",https://www.linkedin.com/company/searchbox-labs/,https://www.seearchboxlabs.co,Khaled Fouly,"Toronto, Ontario, Canada"
OMS SOFTWARE,https://www.crunchbase.com/organization/oms-software,"Information Technology, iOS, Software",Software Development,"705,935",https://www.linkedin.com/company/oms-soft/,http://oms-software.com,Tamas Vasile,"Alba Iulia, Alba, Romania"
Catalyzer,https://www.crunchbase.com/organization/catalyzer-0ab7,"Communities, iOS, Lifestyle, Mobile Apps, Software",Mobile App,"705,326",https://www.linkedin.com/company/social-catalyzer/,https://www.catalyzer.uk,Milos Mandic,"London, England, United Kingdom"
Giving Garden and Land & Ladle,https://www.crunchbase.com/organization/giving-garden-and-land-ladle,"Computer, Software",Giving Garden was a little idea that grew into a big mission at an agriculture innovation hackathon (Apps for Ag) in 2016.,"704,528",https://www.linkedin.com/company/givinggarden/about/,https://givinggarden.io/about,Deema Tamimi,"Davis, California, United States"
urbanHive,https://www.crunchbase.com/organization/urbanhive,"Human Resources, Internet, Robotics, Software",Make more effective hires and build stronger teams.,"702,003",,http://www.urbanhive.buzz,Tom Savoca,"Cincinnati, Ohio, United States"
